# Dataset A, B, C
7.4068,   1.9395,   3.7008
10.9845,   5.3328,   -1.6507
4.5303,   2.7934,   -2.9882
7.8528,   0.6540,   1.4390
7.8594,   0.9528,   -3.6061
5.5837,   -1.8734,   0.5321
6.2301,   -0.2102,   -3.6979
6.5328,   0.4384,   1.5247
8.2555,   -0.4890,   1.3732
7.2791,   2.3242,   3.1607
6.8012,   3.3056,   3.2785
9.5344,   3.5678,   -2.2695
8.5722,   -1.1469,   -0.4426
7.8208,   0.7358,   -0.3362
5.7356,   -2.4888,   4.3360
9.9036,   1.1302,   5.3867
10.1496,   -3.4151,   5.4343
8.6030,   -6.7099,   -1.4986
9.2966,   -0.8280,   3.2613
5.0306,   0.9654,   3.1407
7.3600,   0.5228,   1.5401
10.7986,   -3.5331,   -0.3002
8.6867,   -3.1279,   0.6010
7.5112,   -0.0910,   -0.5224
8.2845,   -0.3613,   -0.8417
11.0242,   -1.8268,   3.2738
4.3564,   -1.2022,   2.0791
7.6598,   -2.0795,   -2.5478
10.4223,   -2.3835,   1.4526
10.2325,   3.9295,   -2.4383
9.1633,   -2.9167,   3.8979
6.9837,   0.8913,   -3.8847
6.3746,   3.9151,   -0.4501
9.2162,   1.2816,   1.2473
6.6770,   1.2512,   4.6045
9.2515,   -4.9359,   2.3599
13.4051,   1.5511,   1.2075
8.6930,   -3.0683,   1.7425
7.5597,   -3.8528,   1.4835
8.5390,   1.1373,   2.5720
10.6728,   -0.7340,   1.8350
7.0677,   -2.7114,   -2.7913
5.9150,   5.7565,   4.4677
4.8073,   -1.1308,   4.5805
9.6151,   5.6448,   -3.4674
8.7792,   -1.6858,   2.7457
8.0478,   2.2427,   -1.5544
9.5412,   1.2270,   -1.5556
9.2060,   3.3259,   1.4996
8.9890,   3.6502,   -3.1143
6.8567,   4.8568,   5.2820
10.0995,   -4.8498,   -2.0177
8.1980,   -0.6437,   5.2376
5.2360,   -0.2521,   -1.1606
7.2086,   0.5191,   -1.1778
10.1792,   4.1947,   3.7294
7.1561,   -5.9094,   2.3396
6.1969,   2.0473,   -3.8069
9.0581,   -6.4075,   2.6159
10.1941,   0.7130,   4.2582
7.0669,   -4.8887,   1.7936
9.2950,   1.5445,   -2.4066
8.5971,   0.8580,   -3.1834
8.8220,   1.1162,   -0.9259
6.4477,   -0.2412,   5.1297
6.4248,   -1.2608,   2.9918
9.5233,   8.9165,   1.9726
8.6667,   -2.8474,   1.7553
8.8213,   -1.7626,   2.6337
8.6705,   -0.3256,   -2.2159
10.7100,   1.0152,   1.5197
10.2800,   2.9079,   -1.5477
9.7032,   -2.4042,   0.3914
9.6086,   -3.2586,   -0.0519
11.3348,   -1.3089,   -2.9408
7.6612,   -0.2568,   -0.5977
7.5383,   0.7425,   0.9513
7.6767,   3.4354,   1.2759
9.9485,   4.1869,   3.8858
10.1019,   3.1863,   -0.4161
5.2208,   -2.0421,   4.6344
8.1338,   0.4299,   -3.2120
5.7293,   2.3209,   -0.1004
8.2041,   -1.9182,   5.0815
6.1420,   4.0828,   -3.6701
6.4897,   -0.2828,   2.3958
9.7586,   -1.8365,   5.0156
9.2756,   -0.7065,   -3.8110
8.9240,   -4.9303,   2.2123
9.6822,   -7.1675,   -1.7230
11.1196,   4.2341,   5.6163
7.3679,   -2.4668,   -3.8867
8.4686,   -1.9698,   4.9591
10.4196,   0.7881,   4.7559
12.4352,   -6.4281,   3.5943
6.2737,   -2.6945,   0.8946
5.9172,   -0.9207,   5.3184
8.5083,   3.3309,   2.6655
11.8396,   -3.5084,   2.9689
7.4207,   1.2141,   -1.8451
11.5329,   -1.6317,   3.8840
8.3621,   3.3660,   -0.8841
7.4093,   5.0255,   3.4265
8.0063,   -1.8243,   4.9200
9.7618,   1.3326,   2.2018
6.4420,   -0.3418,   -2.7339
8.8830,   -0.7118,   -2.6139
4.2004,   1.1885,   -3.7510
7.7263,   -0.6390,   1.2370
8.3232,   -4.5592,   3.2413
8.3410,   -4.3570,   3.5377
7.6602,   1.9544,   5.5542
4.3526,   0.0015,   0.8324
7.6953,   1.1793,   4.6111
6.3848,   -0.8166,   0.1510
7.7458,   1.7929,   1.5327
5.5089,   -2.4627,   4.8471
5.0358,   1.0853,   -3.7395
9.4452,   -5.5341,   1.1366
9.2289,   2.0741,   4.2328
9.5066,   -6.1053,   -0.9450
9.7431,   -3.0401,   1.3557
7.2890,   1.4722,   -2.9002
9.5568,   -0.6744,   -3.0676
9.5830,   0.8290,   2.0472
9.0620,   1.4193,   -0.5807
7.1731,   -2.3467,   5.0757
9.4201,   -2.7988,   0.4675
9.6605,   1.6719,   1.0114
9.8191,   -1.3807,   -0.3352
6.2536,   3.3762,   -1.4584
8.5398,   -1.3169,   -3.4000
7.0231,   -1.0552,   2.0648
7.0872,   -0.5241,   -2.9712
8.2575,   7.1191,   1.0941
7.7262,   -1.1800,   -1.5028
9.3418,   -0.6761,   4.7756
7.5182,   2.0575,   -2.3134
9.7073,   3.3469,   1.2814
8.6973,   -0.5501,   4.7962
6.8002,   -1.2793,   0.2489
8.7218,   -0.9731,   3.9780
11.9081,   1.2608,   5.6994
8.8116,   3.2609,   3.7709
5.0765,   -4.0042,   1.8975
7.1384,   0.2275,   3.4194
6.8789,   -0.0565,   2.7653
5.3359,   3.7862,   -0.8798
7.0238,   -2.2613,   2.2387
7.7624,   -1.0213,   -2.8398
5.1956,   1.0902,   1.7641
4.7366,   2.5473,   -0.6884
8.6764,   4.1373,   -3.1966
7.9073,   -1.9302,   2.0199
12.3459,   0.5002,   -0.4637
6.8889,   0.2241,   0.9872
4.8123,   3.2987,   -3.7686
8.3090,   5.4698,   -3.1374
4.9746,   -6.1430,   5.7777
7.2243,   1.0577,   4.1374
7.6308,   1.7235,   2.6349
8.6392,   -0.0328,   1.3522
7.2024,   5.2594,   1.2157
5.1751,   -7.0046,   -1.5033
8.9125,   -0.8320,   -1.7964
7.2605,   1.7428,   0.2210
9.4977,   1.9013,   1.7844
11.2082,   -2.0905,   -3.4370
7.1729,   1.2431,   4.8843
4.9793,   -1.7767,   5.9080
6.9611,   2.2919,   1.5577
9.8684,   -0.5390,   1.1562
10.4037,   5.7107,   -3.2753
12.1130,   0.7746,   -3.8399
7.8125,   1.2773,   0.3528
8.6689,   0.4969,   -2.3222
5.3947,   -5.9954,   1.1755
7.5199,   1.2578,   2.9406
5.3654,   3.7136,   1.3671
11.7608,   2.1416,   4.8582
5.9348,   2.5991,   -2.3573
11.9578,   2.5728,   -1.7772
8.4155,   -0.6391,   -0.7560
6.9393,   2.1764,   2.8421
6.0866,   3.7653,   4.6860
11.0848,   -0.0598,   3.0976
10.5540,   -4.3011,   4.1131
9.6192,   -1.7182,   4.7704
9.4743,   -5.1589,   -2.9309
7.2334,   -0.5490,   -1.0721
10.4973,   2.8895,   -2.1894
6.8366,   -0.0937,   -2.8384
10.3509,   -3.1621,   3.0603
6.8348,   1.1744,   -1.3739
9.2041,   -0.6582,   1.2767
7.8055,   -1.9653,   2.0342
6.4935,   0.7573,   2.1410
7.6208,   -2.4958,   1.7650
13.0112,   0.6848,   -1.5827
9.7268,   -4.2734,   3.3562
8.6734,   3.7926,   -3.9819
9.3485,   2.1639,   4.3879
11.0722,   -4.5281,   -0.7400
9.6925,   2.3098,   4.3416
7.2222,   1.6683,   3.5454
9.4147,   4.0681,   -0.6620
8.2867,   -0.0644,   0.0143
9.8039,   1.2048,   -0.1841
10.1300,   4.6230,   5.5605
9.3823,   3.6630,   5.4793
8.0635,   -0.7821,   5.9827
6.9060,   5.8380,   -1.6181
10.8789,   -0.8876,   2.8069
11.0813,   -3.9093,   5.0584
13.2700,   1.4621,   1.3165
6.9827,   0.5558,   1.1775
9.8013,   0.5303,   5.4717
7.2629,   2.3331,   2.2126
7.8803,   -0.6265,   -0.9718
9.3925,   2.3205,   0.7756
8.1278,   0.3623,   -3.7816
6.5906,   -0.9092,   -2.9599
11.5101,   -0.3421,   -3.1969
9.1719,   4.4197,   -1.5130
7.0656,   -3.1805,   -3.5899
10.6488,   2.5320,   0.9741
7.5623,   5.4199,   -3.3016
6.3219,   -5.7728,   2.3537
8.2337,   0.3485,   2.0694
5.0536,   2.5921,   5.6551
7.4905,   2.7423,   1.5506
6.1383,   0.8558,   4.9721
7.7486,   0.7662,   -1.0315
9.9006,   1.6977,   -3.9905
8.7425,   0.2382,   -1.2678
8.9747,   -0.0581,   -2.6715
6.6538,   0.1565,   0.3973
10.2485,   -1.9362,   0.6018
8.0772,   -2.0821,   0.8068
8.6018,   -1.0826,   0.2592
5.5067,   1.5398,   -2.6067
10.8098,   1.1753,   3.6550
10.0420,   -2.4172,   -0.5426
6.8089,   -1.5754,   -2.2229
9.9215,   -1.4282,   3.6571
5.7071,   -2.4744,   0.4178
8.6563,   -2.9012,   5.1253
9.2826,   -0.0286,   -1.4424
10.3831,   0.2462,   -3.4771
12.0042,   2.6006,   -1.1281
8.6324,   1.6860,   3.2050
6.7356,   -4.1077,   2.0870
8.1185,   2.0261,   1.1606
5.6549,   -4.0291,   0.6414
5.4143,   1.3807,   -1.0178
6.9078,   -1.5520,   2.0039
8.6173,   -0.2599,   1.9084
12.4098,   -2.5870,   -0.8246
5.7323,   -4.3247,   3.7967
9.3186,   2.3429,   3.3395
10.9147,   5.0994,   0.8482
4.6433,   -4.6628,   -3.6923
5.0698,   7.4531,   -3.5975
5.8367,   -1.5311,   0.6354
5.6874,   1.7347,   0.4212
9.3670,   0.1023,   0.9298
9.5232,   -5.2962,   2.9541
9.0510,   -1.4054,   4.0433
5.2719,   -3.8602,   0.8474
8.5573,   4.5147,   -2.0087
7.9091,   2.9289,   2.2161
9.8047,   0.4617,   0.2984
8.4501,   -5.0947,   -3.7008
6.9545,   3.2543,   -2.1291
6.1202,   4.3075,   0.0806
5.5802,   -0.3721,   -3.2776
9.9233,   -1.3361,   4.4947
9.6868,   -2.4586,   5.3071
7.9181,   -4.3946,   -3.1555
6.1109,   -3.6242,   -3.6735
10.5141,   -1.2962,   0.6577
11.0529,   1.9398,   -0.1681
7.5216,   -3.5070,   4.6927
8.8515,   1.2623,   5.9861
10.9002,   -2.2253,   3.5170
12.0884,   3.0728,   1.6312
6.6246,   0.0313,   3.4046
8.1783,   -0.7816,   -1.4929
10.0271,   -5.4466,   1.8412
8.2021,   0.9221,   2.4322
10.1157,   6.3212,   5.4546
6.1352,   0.0758,   2.4266
10.7225,   7.7049,   3.0871
2.6729,   4.9928,   1.9660
8.6324,   -1.4423,   -3.1057
9.4939,   2.0946,   4.9510
8.0733,   -2.6105,   1.8136
7.3792,   0.4725,   5.4779
11.2697,   2.9478,   1.5367
7.4893,   -0.1077,   0.3560
6.4930,   -5.2541,   -2.9122
7.8458,   2.1165,   2.6310
8.3421,   0.3060,   1.0402
7.3584,   2.8212,   3.4893
7.1485,   -1.4646,   -3.9636
7.8355,   4.0236,   -2.1906
7.8228,   -0.1384,   1.7632
3.7916,   -0.7628,   -1.8843
9.0695,   3.5262,   -1.1447
7.8599,   4.2268,   -2.0023
9.9265,   4.4504,   -2.9099
10.4967,   2.7371,   -3.7044
9.0683,   -0.4066,   0.9762
8.5923,   -0.2292,   2.0491
5.5775,   2.8084,   -1.9065
6.2932,   -1.9002,   -2.6064
6.2549,   -0.6060,   -1.4939
8.3748,   -0.0776,   0.2232
8.3055,   -2.2145,   -2.5986
9.8472,   0.2850,   3.0776
8.8972,   -4.5410,   1.8096
7.2604,   -1.9132,   0.9136
6.9550,   2.5570,   -3.6505
6.6547,   3.7991,   -2.2350
8.7566,   1.2303,   -0.3005
8.8072,   -0.7689,   2.0376
5.5023,   2.2435,   -3.3060
9.1719,   0.3640,   -1.1228
10.3363,   1.7065,   0.7047
7.4017,   -0.7386,   2.4599
9.2931,   1.5096,   -1.0870
9.9315,   2.7159,   3.0675
11.0834,   -7.4472,   4.4891
7.8547,   4.1588,   -2.5535
5.7566,   0.1354,   -1.5932
7.7713,   1.2654,   4.1641
11.3827,   -4.6808,   -1.8977
8.7824,   5.0084,   -0.2109
6.2096,   -1.8636,   4.9010
8.6869,   -1.7933,   1.3282
9.5067,   4.4994,   3.2072
9.8016,   3.6678,   -3.7924
8.3363,   0.9751,   4.3139
11.6555,   3.3834,   2.1212
9.9020,   -3.3928,   -0.3871
5.6363,   2.5085,   -3.9218
11.1618,   1.5472,   2.1196
7.7961,   -0.3649,   4.2237
7.8529,   -1.0544,   -3.4547
6.5976,   5.2593,   -2.0513
7.6076,   1.2012,   -2.6698
6.6876,   -2.7279,   4.5390
5.1342,   2.0481,   2.6162
9.3690,   -3.0750,   0.3355
9.8667,   -2.2093,   3.3072
6.5495,   -0.1947,   0.7545
6.8362,   2.3252,   -1.9097
2.8614,   1.1632,   0.3441
8.1691,   1.0730,   5.9288
6.0747,   3.0967,   -1.1683
7.3838,   2.5503,   -0.1987
6.3389,   -4.0033,   -0.1238
9.5422,   3.3544,   2.7630
4.7337,   2.4639,   -3.1285
7.7935,   -3.0601,   0.9729
6.1075,   -0.2109,   2.4704
6.5668,   -4.4505,   0.6225
7.4596,   0.7370,   -3.3603
7.4977,   0.1427,   1.8489
4.0171,   -1.8874,   1.6051
10.4344,   1.3487,   2.4258
7.6579,   -0.4621,   5.5982
2.4954,   6.1093,   -2.5174
10.4566,   -1.3258,   2.5068
5.9583,   -1.5880,   3.1973
7.3054,   0.9477,   -0.9920
7.4792,   -5.2311,   1.4784
7.9567,   1.7962,   4.2268
8.0490,   0.7468,   1.2031
8.3058,   2.6562,   -0.7672
10.5622,   -2.9342,   3.3502
9.4258,   3.9084,   1.9192
5.1555,   1.8887,   2.4634
5.4098,   1.9973,   -3.7718
7.6399,   -1.5186,   -0.9205
6.7967,   -3.5601,   -3.1047
10.8367,   0.2739,   -0.8545
6.6764,   4.3851,   -3.7856
6.7134,   -2.6641,   1.7161
8.7671,   -4.1194,   -2.1779
4.5742,   -4.9787,   5.4939
8.0186,   -1.2606,   3.8822
8.5946,   1.1970,   -2.3670
11.4841,   0.5887,   4.9253
6.3489,   -0.6697,   1.1698
6.0360,   4.8877,   1.9882
5.0651,   1.6572,   2.8755
8.0972,   -4.9040,   -1.2212
6.7339,   5.6930,   0.8438
7.6783,   -0.9935,   0.7686
7.2947,   -3.1376,   -2.4893
7.4247,   -1.4558,   5.5175
7.2128,   2.3915,   -0.1555
4.3563,   1.1065,   -3.2576
5.0902,   0.2594,   2.2573
8.0846,   -4.1555,   3.2963
8.3655,   -2.2462,   3.8192
4.5449,   -3.1431,   -1.7637
7.2264,   -3.4779,   -2.1905
5.8765,   -2.0482,   0.7787
8.1943,   1.3701,   0.8233
10.1638,   2.0131,   4.9185
7.3590,   3.6958,   1.8281
4.1467,   -4.2536,   -2.3937
9.1624,   -2.3946,   -2.8760
6.6101,   -0.2880,   4.6571
7.6812,   2.1302,   4.5574
6.9282,   -3.6442,   5.9738
7.8584,   -2.1879,   2.3829
11.5756,   -3.9710,   -1.8049
9.2345,   -0.4117,   -0.6669
4.5479,   6.3077,   5.0944
9.8701,   5.3563,   1.8038
6.1544,   -0.9697,   4.6486
8.3764,   0.0605,   -0.5331
6.4607,   3.1361,   -3.1216
7.9916,   -2.5757,   4.2137
6.4456,   -6.8631,   -3.0724
12.0491,   0.4621,   -0.9496
5.5318,   -2.0087,   3.1498
9.7158,   0.5785,   3.6748
6.1650,   0.1832,   2.4309
11.3737,   1.2378,   -3.8649
11.2136,   5.2489,   -0.1755
6.0766,   -0.9656,   5.4616
3.8397,   2.6240,   1.4043
10.5503,   -0.3800,   -1.3315
8.6309,   -5.6999,   4.1684
6.2467,   -1.1447,   4.9388
9.1921,   2.5568,   5.7007
8.6186,   -2.3752,   5.9762
6.3468,   0.5963,   3.3774
4.8153,   2.1342,   2.8379
6.9511,   -2.3240,   0.8622
9.2291,   -6.2102,   -2.7057
10.3096,   3.3837,   5.7796
6.8823,   2.6560,   1.5466
10.2436,   -4.6425,   5.4055
10.4220,   -3.5151,   1.1143
5.9258,   -1.4870,   0.0162
5.6685,   1.0518,   2.8498
9.3382,   -0.0833,   0.0231
8.0883,   0.0451,   3.6188
8.0000,   -5.3418,   -0.3403
7.8590,   2.3080,   5.4986
6.4959,   -3.4746,   2.4011
9.1533,   6.4989,   0.6206
6.3233,   -3.9895,   5.6403
5.5662,   -1.1515,   0.4805
9.0363,   -0.2996,   2.3206
10.6115,   0.7331,   4.9876
7.9012,   1.0967,   4.8407
4.6357,   4.1757,   4.2795
5.8347,   -2.9900,   1.3883
8.3182,   0.3287,   1.7102
7.6800,   2.8941,   4.8591
8.5394,   -2.8933,   -0.6934
8.0335,   -0.1726,   3.2615
6.8688,   -2.7176,   -0.1714
6.7285,   -3.6558,   3.2040
6.4814,   0.4521,   1.0119
10.3859,   -1.8026,   -0.1510
10.9775,   0.6008,   1.2616
5.7024,   3.0423,   0.6625
7.9299,   3.1957,   -1.0701
6.6588,   -2.0853,   2.1798
8.4718,   1.8509,   -0.5929
8.4109,   -2.2195,   2.4809
6.8335,   4.4071,   4.2576
6.0586,   2.7526,   1.5859
6.1892,   1.8485,   1.2493
11.1863,   -2.1962,   -1.0013
4.8342,   3.6264,   0.6050
6.5448,   1.9396,   -2.2278
6.1054,   -0.1024,   0.1148
9.8564,   1.2218,   3.8856
6.8705,   1.1321,   1.4802
4.8486,   8.1505,   -2.9968
4.3422,   -4.6915,   4.5639
3.7460,   1.7244,   -1.1998
5.8427,   3.9245,   -0.8465
11.4598,   -6.0758,   1.1631
8.3946,   7.3956,   -0.5664
9.8290,   1.9201,   -0.4836
9.0570,   3.4189,   -0.0487
6.9858,   2.8675,   -2.5030
10.3115,   -1.1956,   5.3207
8.5357,   -0.7686,   3.1456
7.5615,   -1.8543,   5.7277
8.1280,   5.5230,   4.3498
6.5264,   0.0283,   -1.2118
8.4958,   1.5508,   1.3013
7.0190,   3.5271,   3.9430
7.5446,   2.6091,   -0.7027
6.0291,   -1.0525,   2.6489
6.4729,   3.8172,   5.1144
9.3292,   2.9267,   0.8480
8.6867,   -1.1543,   -3.9237
10.1050,   5.0209,   5.4671
5.9708,   0.3414,   2.9656
5.4300,   1.6877,   -1.4229
4.7011,   -1.2535,   4.8333
9.0122,   0.3004,   -3.1470
6.7712,   1.2968,   -3.4816
9.2122,   6.5506,   1.4094
8.7177,   -0.9525,   4.3052
11.6537,   1.4261,   -1.8995
8.1417,   -1.8207,   4.6340
8.6300,   2.6557,   2.4630
7.2846,   0.6518,   3.1713
9.8175,   0.6018,   1.9833
5.9986,   -0.4042,   -3.8279
6.7864,   4.1750,   -2.1307
5.7229,   -0.0616,   -0.1262
6.4743,   -3.3537,   5.6799
3.1460,   -1.8485,   1.0509
10.1972,   -0.1780,   -2.0181
8.6899,   -0.8308,   5.8868
10.5363,   -1.0347,   0.8527
3.4529,   -2.2024,   3.5644
10.7133,   1.9602,   4.9588
9.9737,   -3.6251,   4.2815
6.6822,   0.4789,   -1.7021
7.3442,   2.9214,   -0.3330
10.0789,   -0.5374,   4.4065
5.0197,   1.1122,   2.1966
10.9044,   0.2564,   -1.6410
5.5980,   -0.1840,   2.1800
12.6753,   4.7256,   -2.4988
9.5960,   3.7735,   5.2324
9.7649,   -2.9380,   2.6060
5.2254,   0.0031,   2.5772
8.9134,   2.3046,   3.2906
8.2109,   2.6167,   1.7985
7.4696,   -1.2928,   -3.5548
5.4366,   0.0000,   -3.0273
8.5753,   -0.3419,   0.7310
6.8482,   1.8044,   -2.6859
11.3280,   -5.6045,   2.3396
10.0266,   0.4160,   2.5392
8.7595,   1.6776,   -3.0729
9.3685,   -4.7253,   0.6727
6.5261,   -0.2086,   2.3744
9.2524,   2.5738,   1.7139
1.8614,   2.0041,   -1.6056
7.2912,   1.2772,   -0.1944
10.2308,   0.9523,   2.8932
6.2200,   -0.2694,   2.8939
7.2840,   5.6212,   -0.2444
10.2717,   3.6169,   1.7204
4.9551,   -2.6178,   -1.5217
9.1599,   -2.1967,   -1.5648
11.8898,   -1.9612,   0.7313
6.2293,   -1.2790,   -0.8307
10.1350,   -4.4006,   4.9408
6.1858,   1.9017,   2.2504
9.3097,   -1.2471,   2.2676
7.6315,   0.0643,   -1.4799
8.9315,   0.6972,   2.1118
8.2452,   1.3562,   5.2885
8.5317,   3.5251,   4.6424
6.0143,   -1.6056,   -1.0117
8.7629,   6.3807,   0.8811
7.8559,   0.8034,   5.7534
9.4945,   3.9726,   0.7407
8.4884,   -3.7347,   5.3457
5.7679,   -4.9119,   1.7304
8.4521,   2.3151,   -2.4307
7.7606,   -1.4679,   -1.9230
9.4378,   3.5870,   2.0448
8.1765,   2.4914,   0.8710
8.6867,   1.3172,   5.8692
7.8130,   -0.8256,   -0.1044
8.0856,   -2.7355,   2.8507
7.3292,   -0.2794,   2.4122
8.4689,   1.7217,   -2.0548
8.7253,   2.9707,   2.4604
7.3912,   0.3940,   4.2869
9.5747,   0.8411,   0.9463
11.9296,   0.0126,   2.6590
9.1940,   -2.5446,   2.8945
8.1851,   -1.7288,   2.3198
9.3602,   1.9682,   -3.5732
7.2340,   5.2249,   -0.4551
6.6359,   -0.5115,   -0.4217
6.0932,   3.1088,   4.4295
7.3515,   4.7398,   5.3543
6.6352,   -0.9075,   5.3529
8.2274,   2.2616,   -0.0944
4.9654,   -0.6865,   -2.9812
6.3193,   -3.1308,   -2.0246
8.2731,   -0.8760,   -0.6069
7.5191,   -1.9903,   3.0822
8.8381,   -1.5738,   4.6299
10.0414,   0.4254,   -1.4764
9.2073,   -1.6437,   1.4313
6.6958,   -0.6138,   5.4172
8.3330,   1.6003,   -2.1651
9.3951,   3.3862,   5.8603
11.2009,   -6.0849,   5.1569
8.6338,   -2.7780,   -0.2721
10.8983,   3.6911,   3.4447
4.5346,   -4.2735,   4.6373
3.7718,   3.2560,   5.3963
6.2515,   1.3954,   3.0575
10.7834,   3.4349,   3.6941
9.1793,   -3.6675,   -1.5517
7.8281,   -2.4000,   -0.2100
8.6271,   -0.4600,   5.1017
12.0398,   2.1922,   0.6521
7.9845,   -2.7795,   -1.4820
8.9257,   -1.1894,   3.4927
10.4940,   -1.0494,   4.7247
10.7190,   -3.9039,   -1.5407
7.8422,   3.1194,   1.3977
6.9450,   -1.1989,   2.4937
7.2127,   -5.8074,   3.3473
6.3869,   -1.4590,   3.0323
8.1434,   -2.9426,   -3.9965
7.3744,   0.7968,   4.5971
9.8426,   0.5620,   2.2702
6.8495,   3.6328,   5.4500
7.7140,   -5.8515,   1.6200
9.6952,   0.1420,   3.7930
6.7411,   -1.9210,   3.7568
8.2940,   -1.9681,   -1.5748
7.1036,   -0.5295,   -2.1565
6.1389,   -0.7056,   -3.8485
7.0590,   -2.0300,   -2.0691
7.7711,   -0.3699,   4.5336
5.3640,   -0.0093,   -3.8621
6.3278,   1.7710,   -0.8759
7.7309,   3.7797,   -1.0732
7.9845,   -2.7483,   -1.7412
8.8156,   1.7836,   1.1235
6.7307,   7.0407,   -0.1779
7.8958,   1.1855,   -0.2085
4.9350,   4.1342,   0.2832
4.6926,   -2.5690,   -2.5173
9.2070,   0.3945,   -0.4576
9.9470,   0.4712,   2.8013
7.7171,   -0.2028,   -0.4051
6.9814,   -4.4410,   -2.6026
7.4333,   5.3086,   1.1612
7.0321,   1.2112,   4.3334
7.2804,   -1.0288,   5.3105
7.7706,   4.0092,   -0.6785
8.8120,   0.1906,   2.2839
9.9098,   5.1062,   -2.6491
10.3854,   5.0536,   1.3279
8.0964,   0.8147,   2.2001
7.8333,   2.5024,   2.6221
5.9642,   1.9575,   -2.8943
8.5805,   0.9330,   4.4583
9.0881,   5.6863,   4.2894
10.7287,   5.6476,   -1.2821
8.2612,   -0.2298,   -0.4324
7.3678,   3.0463,   -2.8622
7.7272,   -3.5407,   -0.4298
11.4312,   2.2900,   0.9004
8.3466,   -2.0737,   -2.1124
11.5010,   0.3591,   -0.9296
7.5710,   -2.3139,   2.3831
9.5937,   1.5436,   1.2877
3.3070,   -2.9289,   -2.3428
10.0150,   -1.5525,   3.5975
3.8159,   3.4511,   1.0035
11.1293,   0.4666,   5.3590
11.4473,   1.0018,   -2.6921
8.3513,   -4.7482,   5.3973
8.4354,   -0.2937,   4.3100
10.1152,   1.4791,   -3.5994
9.8039,   -1.2972,   -1.0881
5.9857,   -0.2322,   2.3391
6.6505,   -1.8998,   5.8685
8.3813,   0.0403,   2.0062
8.0762,   -3.6201,   0.5620
5.7299,   1.2621,   4.3307
7.0017,   5.8526,   3.4942
7.7183,   -2.3031,   -0.2276
6.3061,   -0.4656,   -3.2213
5.7334,   -1.5732,   -1.8101
9.3732,   -3.0747,   4.7584
7.5443,   -1.5369,   1.3412
9.1725,   -1.0634,   -0.9110
12.7811,   8.1506,   4.5368
4.7341,   -2.7915,   3.6090
8.6315,   1.8467,   -1.3481
9.9984,   -0.3425,   -1.3044
6.7138,   -3.3154,   -2.7389
4.3989,   -1.5658,   4.7084
8.4511,   -2.5040,   1.5341
4.1751,   -6.3033,   2.5236
9.3822,   -3.1859,   -2.5847
9.2971,   0.4039,   -3.2853
4.5092,   1.4838,   -3.7326
7.8993,   2.9801,   0.3798
6.9146,   -1.4276,   -3.0904
9.3952,   -0.3819,   0.0256
7.5166,   -0.1405,   1.0186
8.8815,   4.4821,   4.9817
4.2457,   -4.4920,   3.1785
9.6341,   2.4561,   -0.0939
9.1775,   -3.5348,   2.9209
9.0339,   -4.4638,   -2.4676
2.9001,   1.4577,   4.9637
7.0451,   0.0391,   -0.6624
7.8321,   0.3699,   3.9165
8.7438,   1.6053,   0.8883
11.8580,   -7.3922,   -2.6288
7.4160,   1.8896,   -2.2285
5.3606,   2.6639,   -2.7116
4.5398,   -0.5058,   -3.2177
10.8753,   -2.4638,   5.3849
4.6172,   2.0107,   -1.5589
9.7480,   3.9552,   -0.3677
9.2646,   0.3352,   -3.9477
6.5724,   -5.2359,   -2.3754
7.5534,   -1.8050,   2.1122
7.5355,   -5.8978,   -0.8274
8.6826,   3.6885,   -2.3308
5.7428,   -0.0003,   -1.6974
7.7625,   0.6649,   1.7753
5.5318,   3.7693,   3.8990
6.2343,   -0.3886,   1.8126
6.4053,   0.5983,   -0.8732
9.5607,   2.9711,   3.5338
4.7313,   -0.9775,   -3.7632
4.4733,   -0.4339,   -0.9701
7.1720,   5.5953,   2.0734
8.0573,   0.3235,   -0.4939
7.2023,   -2.4074,   -2.7649
8.1844,   0.3018,   5.9573
6.5591,   -0.8826,   4.9078
7.7456,   -1.3785,   2.9627
9.2093,   -2.2100,   -0.8715
3.6186,   -1.5167,   -2.1443
7.1049,   -3.1046,   -2.9737
8.4473,   -1.8669,   2.0528
10.2137,   -5.3514,   -2.5949
5.9785,   -0.0383,   5.9670
7.6932,   5.0834,   -3.1986
5.1084,   -0.3351,   3.9585
5.4124,   1.1186,   -1.9112
6.9044,   1.7717,   0.2658
8.4342,   -0.0259,   -2.6065
9.7696,   -2.4522,   3.2304
10.5253,   2.0270,   -0.3911
9.3515,   -0.2807,   3.2182
7.4499,   -2.3258,   1.1742
7.4719,   2.3921,   -3.2980
6.0785,   0.4247,   1.1599
9.2428,   -1.7522,   -0.0434
6.0633,   -1.3003,   2.6100
13.1460,   -6.0792,   3.8297
7.0079,   -4.4427,   1.9305
9.7966,   3.1754,   3.6333
8.2098,   -0.4043,   5.3727
9.1248,   0.5233,   -2.2144
5.4778,   0.7993,   -2.2490
10.6390,   5.4484,   0.3334
8.0137,   1.3670,   -2.4720
5.6240,   2.7623,   -1.8760
5.4241,   -1.3774,   5.5225
6.6297,   -0.2548,   4.5047
7.1353,   2.6644,   1.6305
11.6753,   -0.1385,   1.5705
6.2620,   -2.6971,   -0.5372
6.5823,   0.4593,   1.7444
5.3047,   0.0514,   4.8879
6.2542,   2.2186,   3.8263
2.2641,   2.7540,   -1.8599
